model,alpha_mean,alpha_sd,kappa_mean,kappa_sd,prior_label,alpha_median,alpha_q05,alpha_q95,kappa_median,kappa_q05,kappa_q95,omega_median,omega_q05,omega_q95,seu_rate_uncertain_mean,seu_rate_uncertain_sd,seu_rate_uncertain_q05,seu_rate_uncertain_q95,seu_rate_risky_mean,seu_rate_risky_sd,seu_rate_risky_q05,seu_rate_risky_q95,seu_rate_combined_mean,seu_rate_combined_sd,n_ok,n_failed,fail_rate
m_3,3.0,0.75,0.5,0.5,"α~LN(3.0,0.75), κ~LN(0.5,0.5)",19.8153305,4.9554282050000005,67.51697319999997,1.4940058,0.6914936055,3.7151004599999973,30.2637535,7.179093745000001,159.19942699999962,0.7707333333333333,0.126417808168874,0.5395000000000001,0.9469999999999998,0.8946999999999999,0.09630229603816422,0.6926666666666667,0.9933333333333333,0.8327166666666667,0.10455199530483493,200,0,0.0
m_3,3.0,0.75,-0.5,0.25,"α~LN(3.0,0.75), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.0,0.75,-0.5,0.5,"α~LN(3.0,0.75), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.0,1.0,0.0,0.25,"α~LN(3.0,1.0), κ~LN(0.0,0.25)",19.7264335,3.1080733950000003,101.14054199999994,0.95192432,0.6476201075,1.5010890149999994,18.755411000000002,3.18714477,144.08516499999996,0.7604,0.1556590148012279,0.4665,0.97,0.8342666666666666,0.13896128957375142,0.5296666666666667,0.9901666666666666,0.7973333333333333,0.1443493062755143,200,0,0.0
m_3,3.0,1.0,0.0,0.5,"α~LN(3.0,1.0), κ~LN(0.0,0.5)",19.7264335,3.1080733950000003,101.14054199999994,0.90616034,0.4194120765,2.2533223599999985,17.588124,2.64784872,157.31837599999997,0.7604,0.1556590148012279,0.4665,0.97,0.8273333333333334,0.1477080453687837,0.513,0.9933333333333333,0.7938666666666666,0.1457192658657202,200,0,0.0
m_3,3.0,1.0,0.0,0.75,"α~LN(3.0,1.0), κ~LN(0.0,0.75)",19.7264335,3.1080733950000003,101.14054199999994,0.8625968900000001,0.271620034,3.382601694999996,17.5285195,2.2137505600000003,178.90428599999942,0.7604,0.1556590148012279,0.4665,0.97,0.8180833333333334,0.1611098443436789,0.4826666666666667,0.9933333333333333,0.7892416666666666,0.1481804265732976,200,0,0.0
m_3,3.0,1.0,0.0,1.0,"α~LN(3.0,1.0), κ~LN(0.0,1.0)",19.7264335,3.1080733950000003,101.14054199999994,0.82112814,0.1759069335,5.077959929999992,17.8099725,1.6626620000000003,278.1035994999995,0.7604,0.1556590148012279,0.4665,0.97,0.8077833333333334,0.17590094355757288,0.4465,0.9934999999999999,0.7840916666666666,0.15092757622081157,200,0,0.0
m_3,3.0,1.0,0.5,0.25,"α~LN(3.0,1.0), κ~LN(0.5,0.25)",19.7264335,3.1080733950000003,101.14054199999994,1.56945785,1.067745065,2.474877384999999,30.922445500000002,5.2547133399999995,237.55627549999994,0.7604,0.1556590148012279,0.4665,0.97,0.8870999999999999,0.11238045994645947,0.6365000000000001,0.9966666666666667,0.82375,0.13011669441953508,200,0,0.0
m_3,3.0,1.0,0.5,0.5,"α~LN(3.0,1.0), κ~LN(0.5,0.5)",19.7264335,3.1080733950000003,101.14054199999994,1.4940058,0.6914936055,3.7151004599999973,28.9979145,4.365564495,259.3741529999999,0.7604,0.1556590148012279,0.4665,0.97,0.8798,0.12205537905211533,0.6278333333333334,0.9966666666666667,0.8201,0.13229760642833516,200,0,0.0
m_3,3.0,1.0,-0.5,0.25,"α~LN(3.0,1.0), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.0,1.0,-0.5,0.5,"α~LN(3.0,1.0), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.5,0.5,0.0,0.25,"α~LN(3.5,0.5), κ~LN(0.0,0.25)",32.817484,13.0263797,74.31032024999999,0.95192432,0.6476201075,1.5010890149999994,30.988368,12.0236242,92.67837749999998,0.8533000000000002,0.07102737343994762,0.7198333333333333,0.9533333333333334,0.91565,0.05510918203389018,0.8065,0.9833333333333333,0.884475,0.05930185904430915,200,0,0.0
m_3,3.5,0.5,0.0,0.5,"α~LN(3.5,0.5), κ~LN(0.0,0.5)",32.817484,13.0263797,74.31032024999999,0.90616034,0.4194120765,2.2533223599999985,31.183090999999997,9.527240475,123.2155314999999,0.8533000000000002,0.07102737343994762,0.7198333333333333,0.9533333333333334,0.9076166666666667,0.06979921799943989,0.76,0.9866666666666667,0.8804583333333333,0.06342054028905426,200,0,0.0
m_3,3.5,0.5,0.0,0.75,"α~LN(3.5,0.5), κ~LN(0.0,0.75)",32.817484,13.0263797,74.31032024999999,0.8625968900000001,0.271620034,3.382601694999996,31.026,7.153260895,154.9064709999999,0.8533000000000002,0.07102737343994762,0.7198333333333333,0.9533333333333334,0.8948,0.09251885093200075,0.6833333333333333,0.9933333333333333,0.87405,0.07098523124957441,200,0,0.0
m_3,3.5,0.5,0.0,1.0,"α~LN(3.5,0.5), κ~LN(0.0,1.0)",32.817484,13.0263797,74.31032024999999,0.82112814,0.1759069335,5.077959929999992,28.4508255,5.09797761,209.05932999999996,0.8533000000000002,0.07102737343994762,0.7198333333333333,0.9533333333333334,0.8785499999999999,0.11948759931009113,0.61,0.9966666666666667,0.8659250000000001,0.08122443144700299,200,0,0.0
m_3,3.5,0.5,0.5,0.25,"α~LN(3.5,0.5), κ~LN(0.5,0.25)",32.817484,13.0263797,74.31032024999999,1.56945785,1.067745065,2.474877384999999,51.091182,19.82360545,152.80081299999998,0.8533000000000002,0.07102737343994762,0.7198333333333333,0.9533333333333334,0.9492499999999998,0.03640274333374097,0.8765000000000001,0.9934999999999999,0.9012749999999999,0.05012899402208932,200,0,0.0
m_3,3.5,0.5,0.5,0.5,"α~LN(3.5,0.5), κ~LN(0.5,0.5)",32.817484,13.0263797,74.31032024999999,1.4940058,0.6914936055,3.7151004599999973,51.4122255,15.707764050000002,203.1480729999998,0.8533000000000002,0.07102737343994762,0.7198333333333333,0.9533333333333334,0.9431499999999999,0.04774026660540927,0.8531666666666667,0.9966666666666667,0.8982249999999999,0.05328202675386889,200,0,0.0
m_3,3.5,0.5,-0.5,0.25,"α~LN(3.5,0.5), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.5,0.5,-0.5,0.5,"α~LN(3.5,0.5), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.5,0.75,0.0,0.25,"α~LN(3.5,0.75), κ~LN(0.0,0.25)",32.669956,8.170119920000001,111.31667399999995,0.95192432,0.6476201075,1.5010890149999994,31.653326,7.88612404,155.2260974999999,0.8399166666666668,0.10428243566818379,0.6391666666666667,0.9766666666666667,0.9031999999999999,0.08165839413883506,0.7198333333333333,0.9933333333333333,0.8715583333333333,0.08994150529649812,200,0,0.0
m_3,3.5,0.75,0.0,0.5,"α~LN(3.5,0.75), κ~LN(0.0,0.5)",32.669956,8.170119920000001,111.31667399999995,0.90616034,0.4194120765,2.2533223599999985,30.2637535,7.179093745000001,159.19942699999962,0.8399166666666668,0.10428243566818379,0.6391666666666667,0.9766666666666667,0.8946999999999999,0.09630229603816422,0.6926666666666667,0.9933333333333333,0.8673083333333333,0.09428601249802528,200,0,0.0
m_3,3.5,0.75,0.0,0.75,"α~LN(3.5,0.75), κ~LN(0.0,0.75)",32.669956,8.170119920000001,111.31667399999995,0.8625968900000001,0.271620034,3.382601694999996,30.2596895,5.1103817000000005,237.68556549999968,0.8399166666666668,0.10428243566818379,0.6391666666666667,0.9766666666666667,0.8833666666666666,0.11558065485961645,0.6261666666666668,0.9966666666666667,0.8616416666666666,0.09989292566154133,200,0,0.0
m_3,3.5,0.75,0.0,1.0,"α~LN(3.5,0.75), κ~LN(0.0,1.0)",32.669956,8.170119920000001,111.31667399999995,0.82112814,0.1759069335,5.077959929999992,32.2063345,3.74932518,291.9297099999997,0.8399166666666668,0.10428243566818379,0.6391666666666667,0.9766666666666667,0.8694666666666666,0.13541148810610978,0.5628333333333334,0.9966666666666667,0.8546916666666666,0.10605358675636052,200,0,0.0
m_3,3.5,0.75,0.5,0.25,"α~LN(3.5,0.75), κ~LN(0.5,0.25)",32.669956,8.170119920000001,111.31667399999995,1.56945785,1.067745065,2.474877384999999,52.187512,13.002020100000001,255.9245734999998,0.8399166666666668,0.10428243566818379,0.6391666666666667,0.9766666666666667,0.94,0.05784654027876017,0.8161666666666667,0.9966666666666667,0.8899583333333334,0.07787301584773908,200,0,0.0
m_3,3.5,0.75,0.5,0.5,"α~LN(3.5,0.75), κ~LN(0.5,0.5)",32.669956,8.170119920000001,111.31667399999995,1.4940058,0.6914936055,3.7151004599999973,49.896494000000004,11.836324150000001,262.47547599999933,0.8399166666666668,0.10428243566818379,0.6391666666666667,0.9766666666666667,0.9343,0.06729750697049962,0.8061666666666667,1.0,0.8871083333333334,0.08017419879723013,200,0,0.0
m_3,3.5,0.75,-0.5,0.25,"α~LN(3.5,0.75), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.5,0.75,-0.5,0.5,"α~LN(3.5,0.75), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.5,1.0,0.0,0.25,"α~LN(3.5,1.0), κ~LN(0.0,0.25)",32.523390500000005,5.1243466600000005,166.7525619999999,0.95192432,0.6476201075,1.5010890149999994,30.922445500000002,5.2547133399999995,237.55627549999994,0.8246833333333333,0.13521345162371973,0.5559999999999999,0.9801666666666666,0.8870999999999999,0.11238045994645947,0.6365000000000001,0.9966666666666667,0.8558916666666667,0.12118762742816061,200,0,0.0
m_3,3.5,1.0,0.0,0.5,"α~LN(3.5,1.0), κ~LN(0.0,0.5)",32.523390500000005,5.1243466600000005,166.7525619999999,0.90616034,0.4194120765,2.2533223599999985,28.9979145,4.365564495,259.3741529999999,0.8246833333333333,0.13521345162371973,0.5559999999999999,0.9801666666666666,0.8798,0.12205537905211533,0.6278333333333334,0.9966666666666667,0.8522416666666666,0.123436285577711,200,0,0.0
m_3,3.5,1.0,0.0,0.75,"α~LN(3.5,1.0), κ~LN(0.0,0.75)",32.523390500000005,5.1243466600000005,166.7525619999999,0.8625968900000001,0.271620034,3.382601694999996,28.8996435,3.649857685,294.96330149999903,0.8246833333333333,0.13521345162371973,0.5559999999999999,0.9801666666666666,0.8700833333333332,0.13649234309008773,0.5650000000000001,0.9966666666666667,0.8473833333333335,0.12709243246113786,200,0,0.0
